Word	IDF
cvs	6.71042701737487
cyberlink	6.71042701737487
cynthia	6.71042701737487
cz	6.71042701737487
dame	6.71042701737487
dan	6.71042701737487
danville	6.71042701737487
date	6.71042701737487
daughter	6.71042701737487
day	6.017279836814924
dead	6.304961909266705
deals	6.71042701737487
death	6.71042701737487
deathly	6.71042701737487
del	6.71042701737487
dentistry	6.71042701737487
department	6.71042701737487
design	6.71042701737487
did	6.017279836814924
die	6.017279836814924
diet	6.304961909266705
digital	6.71042701737487
disabilities	6.71042701737487
disco	6.71042701737487
display	6.71042701737487
district	6.71042701737487
dj	6.71042701737487
do	5.005678925136444
docs	6.304961909266705
doctrines	6.71042701737487
does	5.206349620598596
dog	6.017279836814924
dogs	5.794136285500715
doll	6.304961909266705
dominic	6.71042701737487
donlads	6.71042701737487
